product_id,product_name,category,price,stock_quantity,location,event_type
C-001,참치마요 삼각김밥 110g,간편식>삼각김밥,1200,15,A-1 (신선 오픈매대),단품
C-002,전주비빔 삼각김밥 110g,간편식>삼각김밥,1200,8,A-1 (신선 오픈매대),단품
C-003,혜자로운 제육도시락,간편식>도시락,5200,6,A-2 (신선 오픈매대),단품
C-004,11가지찬 도시락,간편식>도시락,5500,4,A-2 (신선 오픈매대),단품
C-005,불닭볶음면 컵 105g,가공식품>컵라면,1800,24,B-1 (라면/즉석식품 매대),2+1
C-006,신라면 큰사발 114g,가공식품>컵라면,1500,30,B-1 (라면/즉석식품 매대),단품
C-007,육개장 사발면 86g,가공식품>컵라면,1100,45,B-1 (라면/즉석식품 매대),단품
C-008,햇반 210g,가공식품>즉석밥,2100,18,B-2 (라면/즉석식품 매대),1+1
C-009,오뚜기 3분카레 200g,가공식품>레토르트,2200,12,B-2 (라면/즉석식품 매대),1+1
C-010,코카콜라 제로 500ml,음료>탄산음료,2200,20,C-1 (음료 워크인 쿨러),1+1
C-011,펩시 제로 라임 500ml,음료>탄산음료,2000,25,C-1 (음료 워크인 쿨러),1+1
C-012,포카리스웨트 500ml,음료>이온음료,2300,14,C-2 (음료 워크인 쿨러),2+1
C-013,삼다수 500ml,음료>생수,1100,50,C-2 (음료 워크인 쿨러),단품
C-014,서울우유 200ml,유제품>우유,1200,10,A-3 (유제품 냉장매대),단품
C-015,바나나맛우유 240ml,유제품>가공유,1800,16,A-3 (유제품 냉장매대),2+1
C-016,비요뜨 초코링 143g,유제품>요거트,1800,12,A-3 (유제품 냉장매대),2+1
C-017,포카칩 오리지널 66g,스낵>감자스낵,1700,22,D-1 (스낵/안주 매대),2+1
C-018,새우깡 90g,스낵>일반스낵,1500,18,D-1 (스낵/안주 매대),단품
C-019,허니버터칩 60g,스낵>감자스낵,1700,15,D-1 (스낵/안주 매대),2+1
C-020,하리보 골드베렌 100g,스낵>젤리/캔디,1800,30,D-2 (카운터 옆 젤리매대),1+1
C-021,페레로로쉐 3구,스낵>초콜릿,3000,12,D-2 (카운터 옆 젤리매대),단품
C-022,핫바 매콤후랑크 80g,신선/가공>냉장간식,2500,14,A-4 (냉장 안주/가공매대),1+1
C-023,의성마늘 프랑크 70g,신선/가공>냉장간식,2400,18,A-4 (냉장 안주/가공매대),1+1
C-024,맥스봉 오리지널 50g,스낵>소시지,2000,28,D-3 (상온 안주매대),2+1
C-025,질러 직화육포 30g,스낵>육포/안주,4500,10,D-3 (상온 안주매대),1+1
C-026,C타입 고속충전 케이블,잡화>디지털,6000,5,E-1 (잡화/의약외품 매대),단품
C-027,도루코 3중날 면도기,잡화>위생,3500,8,E-1 (잡화/의약외품 매대),단품
C-028,크리넥스 여행용 티슈,잡화>위생,1200,20,E-2 (생활용품 매대),단품
C-029,타이레놀 500mg (8정),잡화>안전상비약,3600,6,카운터 후면 보관함,단품
C-030,판콜에이 내복액 (3병),잡화>안전상비약,3000,8,카운터 후면 보관함,단품
