product_id,product_name,category,price,stock_quantity,location
L-001,포카칩 원조맛 60g,식품>과자·스낵>스낵,3200,33,A동 1번 통로 (과자 코너)
L-002,오징어집 83g,식품>과자·스낵>스낵,3200,75,B동 1번 통로 (라면 코너)
L-003,새우깡 90g,식품>과자·스낵>스낵,1500,40,카운터 옆 악세사리 매대
L-004,꼬깔콘 고소한맛 72g,식품>과자·스낵>스낵,1200,144,A동 2번 통로 (냉장 쇼케이스)
L-005,허니버터칩 60g,식품>과자·스낵>스낵,2500,113,A동 1번 통로 (과자 코너)
L-006,양파링 84g,식품>과자·스낵>스낵,1200,28,B동 1번 통로 (라면 코너)
L-007,홈런볼 초코 46g,식품>과자·스낵>스낵,1500,134,D동 2번 통로 (세제 및 청소용품 코너)
L-008,썬칩 80g,식품>과자·스낵>스낵,1200,148,B동 1번 통로 (라면 코너)
L-009,포스틱 104g,식품>과자·스낵>스낵,3200,144,C동 1번 통로 (신선식품 채소 코너)
L-010,치토스 바베큐맛 82g,식품>과자·스낵>스낵,1500,119,D동 2번 통로 (세제 및 청소용품 코너)
L-011,초코파이 정 12개입,식품>과자·스낵>비스킷·초콜릿,5200,6,A동 3번 통로 (대용량 음료 코너)
L-012,몽쉘 크림케이크 12개입,식품>과자·스낵>비스킷·초콜릿,12900,113,B동 3번 통로 (즉석밥 코너)
L-013,빈츠 204g,식품>과자·스낵>비스킷·초콜릿,1700,44,B동 1번 통로 (라면 코너)
L-014,오레오 초코샌드 300g,식품>과자·스낵>비스킷·초콜릿,4100,91,A동 2번 통로 (냉장 쇼케이스)
L-015,마가렛트 12개입,식품>과자·스낵>비스킷·초콜릿,4500,102,A동 2번 통로 (냉장 쇼케이스)
L-016,칙촉 12개입,식품>과자·스낵>비스킷·초콜릿,5200,93,D동 2번 통로 (세제 및 청소용품 코너)
L-017,자유시간 36g,식품>과자·스낵>비스킷·초콜릿,1700,16,카운터 옆 악세사리 매대
L-018,허쉬 초콜릿바 40g,식품>과자·스낵>비스킷·초콜릿,1900,142,A동 2번 통로 (냉장 쇼케이스)
L-019,칸쵸 54g,식품>과자·스낵>비스킷·초콜릿,1900,25,D동 1번 통로 (욕실용품 코너)
L-020,버터링 131g,식품>과자·스낵>비스킷·초콜릿,1700,97,D동 2번 통로 (세제 및 청소용품 코너)
L-021,코카콜라 500ml,식품>음료>탄산음료,1500,22,A동 1번 통로 (과자 코너)
L-022,칠성사이다 500ml,식품>음료>탄산음료,3200,63,B동 2번 통로 (간편식 코너)
L-023,펩시콜라 제로 500ml,식품>음료>탄산음료,1200,64,A동 2번 통로 (냉장 쇼케이스)
L-024,환타 오렌지 500ml,식품>음료>탄산음료,1900,76,C동 2번 통로 (정육 냉장 진열대)
L-025,스프라이트 500ml,식품>음료>탄산음료,3200,98,A동 3번 통로 (대용량 음료 코너)
L-026,웰치스 포도 355ml,식품>음료>탄산음료,1700,95,B동 1번 통로 (라면 코너)
L-027,맥콜 250ml,식품>음료>탄산음료,3200,73,카운터 옆 악세사리 매대
L-028,몬스터 에너지 355ml,식품>음료>탄산음료,3200,23,D동 2번 통로 (세제 및 청소용품 코너)
L-029,레드불 250ml,식품>음료>탄산음료,3200,48,D동 1번 통로 (욕실용품 코너)
L-030,토닉워터 300ml,식품>음료>탄산음료,3200,67,A동 3번 통로 (대용량 음료 코너)
L-031,삼다수 생수 2L,식품>음료>생수·탄산수,1800,102,B동 2번 통로 (간편식 코너)
L-032,아이시스 8.0 2L,식품>음료>생수·탄산수,3200,147,B동 1번 통로 (라면 코너)
L-033,백산수 2L,식품>음료>생수·탄산수,3200,88,A동 1번 통로 (과자 코너)
L-034,트레비 탄산수 플레인 500ml,식품>음료>생수·탄산수,1200,13,B동 3번 통로 (즉석밥 코너)
L-035,씨그램 레몬 350ml,식품>음료>생수·탄산수,1900,73,A동 2번 통로 (냉장 쇼케이스)
L-036,강원평창수 2L,식품>음료>생수·탄산수,1500,150,카운터 옆 악세사리 매대
L-037,삼다수 생수 500ml,식품>음료>생수·탄산수,1400,59,E동 1번 통로 (디지털 및 문구 매대)
L-038,아이시스 500ml,식품>음료>생수·탄산수,1900,106,E동 1번 통로 (디지털 및 문구 매대)
L-039,초정탄산수 라임 500ml,식품>음료>생수·탄산수,1800,41,B동 2번 통로 (간편식 코너)
L-040,제주탄산수 500ml,식품>음료>생수·탄산수,1200,68,카운터 옆 악세사리 매대
L-041,레쓰비 마일드 240ml,식품>음료>커피·차음료,2500,142,B동 2번 통로 (간편식 코너)
L-042,칸타타 프리미엄 라떼 275ml,식품>음료>커피·차음료,3200,114,D동 2번 통로 (세제 및 청소용품 코너)
L-043,조지아 고소한 라떼 240ml,식품>음료>커피·차음료,1900,97,B동 1번 통로 (라면 코너)
L-044,티오 아이스티 복숭아 500ml,식품>음료>커피·차음료,1500,135,C동 2번 통로 (정육 냉장 진열대)
L-045,옥수수수염차 500ml,식품>음료>커피·차음료,1200,17,A동 2번 통로 (냉장 쇼케이스)
L-046,하늘보리 500ml,식품>음료>커피·차음료,1500,45,E동 1번 통로 (디지털 및 문구 매대)
